,adjective,noun,article,adj_article,prob,is_multi_token
283,pound,note,a,a,2.0424036847543903e-05,False
284,vegetable,salad,a,a,0.004719271790236235,False
285,college,lecturer,a,a,0.0014247935032472014,False
286,yellow,submarine,a,a,7.727291813353077e-05,False
287,bunny,rabbit,a,a,0.010084818117320538,False
288,water,board,a,a,0.0006749366293661296,False
289,ear,infection,an,an,0.0015545077621936798,False
290,baby,piggy,a,a,0.001937566208653152,False
291,pecan,cluster,a,a,1.1678275696709304e-10,True
292,yellow,man,a,a,0.00025467551313340664,False
293,green,jungle,a,a,0.013512431643903255,False
294,broken,bag,a,a,0.0002615681733004749,False
295,nail,polish,,,1.1214008281967836e-06,False
296,dead,fish,a,a,0.004601052962243557,False
297,pregnant,person,a,a,5.576778858085163e-05,False
298,thick,wood,,,0.00011214500409550965,False
299,sea,green,,,0.00010482797370059416,False
300,carrot,peel,a,a,1.3905450941820163e-05,False
301,yarn,basket,a,a,2.3028780560707673e-05,False
302,walk,path,a,a,0.0005843147519044578,False
303,purple,star,a,a,0.0005545160383917391,False
304,eight,piece,a,an,0.0009703750838525593,False
305,bed,sheet,a,a,0.00034817459527403116,False
306,pill,box,a,a,0.00047620400437153876,False
307,blackberry,patch,a,a,5.988905468257144e-05,False
308,fuzzy,teddy,a,a,3.390247002243996e-05,False
309,red,color,a,a,0.00903875008225441,False
310,hind,leg,a,a,0.038338422775268555,False
311,jungle,gym,a,a,0.0005008509615436196,False
312,dirty,player,a,a,7.99000645201886e-06,False
313,curtain,window,a,a,0.0005721671041101217,False
314,cigar,smoke,,,0.008411875925958157,False
315,baby,boy,a,a,0.02114672213792801,False
316,orange,sweater,a,an,0.006673633586615324,False
317,fudge,sundae,a,a,2.0540282886718414e-10,True
318,knitting,basket,a,a,6.71063462505117e-05,False
319,water,melon,a,a,0.008848744444549084,False
320,garlic,bread,,,0.009918023832142353,False
321,pole,light,a,a,2.8245409339433536e-05,False
322,brown,syrup,,,0.001279292511753738,False
323,crispy,patty,a,a,1.2366487520688973e-10,True
324,crescent,moon,a,a,0.01102442666888237,False
325,gun,guard,a,a,0.0005027771112509072,False
326,bingo,game,a,a,2.3220040020532906e-05,False
327,marble,arch,an,a,0.001145965070463717,False
328,toy,train,a,a,1.1359079508110881e-05,False
329,dead,puppy,a,a,0.0037822548765689135,False
330,red,clay,,,0.04873570427298546,False
331,silky,blanket,a,a,4.729017018689774e-05,False
332,door,valve,a,a,0.0005396123742684722,False
333,plant,root,a,a,0.0007841092883609235,False
334,mommy,fish,a,a,1.4667575669591315e-06,False
335,pirate,flag,a,a,3.903878678102046e-05,False
336,broken,balloon,a,a,0.0007527588750235736,False
337,bright,orange,an,a,0.028239553794264793,False
338,red,scissors,,,0.0016725787427276373,False
339,egg,soup,,,0.0009377824608236551,False
340,fish,aquarium,an,a,0.003038192167878151,False
341,clothes,basket,a,a,0.00010051572462543845,False
342,garden,tool,a,a,0.0016995184123516083,False
343,sleep,walk,a,a,0.00039535891846753657,False
344,blood,cell,a,a,0.0016994131729006767,False
345,baby,ostrich,an,a,0.001193432486616075,False
346,dinner,table,a,a,0.0850345715880394,False
347,purple,noodle,a,a,0.0006037232233211398,False
348,cast,iron,an,a,0.020953116938471794,False
349,cry,baby,a,a,0.0030227992683649063,False
350,baby,sheep,a,a,0.0005352293374016881,False
351,green,room,a,a,0.0066335503943264484,False
352,grey,boot,a,a,0.00011340430501149967,False
353,pink,yogurt,,,0.0006338799721561372,False
354,pirate,movie,a,a,5.959337613603566e-06,False
355,pink,shoe,a,a,0.004363093990832567,False
356,wooden,hammer,a,a,0.0005543265724554658,False
357,pet,toy,a,a,0.009557758457958698,False
358,frozen,bean,a,a,7.287170592462644e-05,False
359,fat,elephant,an,a,0.0005248906672932208,False
360,dogs,biscuit,a,a,0.00012377231905702502,False
361,hot,coffee,,,0.031693603843450546,False
362,purple,lipstick,,,0.023150620982050896,False
363,stew,pot,a,a,0.0017155102686956525,False
364,brown,table,a,a,4.56195448350627e-05,False
365,jellyfish,family,a,a,2.6497962115079395e-11,True
366,sleeping,bag,a,a,0.03258384391665459,False
367,hot,piggy,a,a,0.0010834315326064825,False
368,multicolored,sign,a,a,2.0005946956821017e-18,True
369,dog,poop,,,0.0621362179517746,False
370,farm,movie,a,a,6.1700707192358095e-06,False
371,green,hat,a,a,0.002597890328615904,False
372,green,flag,a,a,0.19846880435943604,False
373,navy,coat,a,a,0.0013722233707085252,False
374,microwave,lid,a,a,3.7427060306072235e-05,False
375,flat,roof,a,a,0.14495809376239777,False
376,green,park,a,a,0.0018066890770569444,False
377,red,stair,a,a,0.0013300200225785375,False
378,path,hedge,a,a,0.00030921216239221394,False
379,plastic,track,a,a,3.0428618629230186e-06,False
380,dirty,banana,a,a,0.0029644297901540995,False
381,alphabet,block,a,an,1.5205033378151711e-05,False
382,baby,parrot,a,a,0.0014503314159810543,False
383,train,car,a,a,0.004253040067851543,False
384,purple,snail,a,a,0.0007427249802276492,False
385,green,zebra,a,a,0.0055828089825809,False
386,horse,manure,,,0.10115916281938553,False
387,yellow,cake,a,a,0.002243636641651392,False
388,music,book,a,a,0.0025010055396705866,False
389,carrot,cake,a,a,0.014148312620818615,False
390,rolling,pin,a,a,0.007073276210576296,False
391,yellow,top,a,a,0.00022416457068175077,False
392,giant,frog,a,a,0.01534915529191494,False
393,wooden,stick,a,a,9.431619400857016e-05,False
394,dark,flower,a,a,0.0012087303912267089,False
395,home,county,a,a,3.287457730039023e-05,False
396,green,book,a,a,0.0005044462741352618,False
397,dirty,cave,a,a,5.655451968777925e-05,False
398,pink,skirt,a,a,0.0027712397277355194,False
399,fat,mama,a,a,0.000523907772731036,False
400,green,dog,a,a,0.0023984413128346205,False
401,cookie,bake,a,a,8.228876686189324e-05,False
402,alphabet,puzzle,a,an,0.0026344687212258577,False
403,garden,shed,a,a,0.0036730612628161907,False
404,night,crawler,a,a,0.04078710824251175,False
405,orange,pop,a,an,0.0014388964045792818,False
406,pop,corn,a,a,0.000269184383796528,False
407,ox,tail,a,an,2.342787047382444e-05,False
408,pound,hammer,a,a,0.0003626291872933507,False
409,heart,attack,an,a,0.016125157475471497,False
410,brown,shoe,a,a,0.004316630773246288,False
411,jaw,bone,a,a,0.002487605670467019,False
412,red,lobster,a,a,0.14085513353347778,False
413,cracker,box,a,a,4.6801209053579665e-09,True
414,green,thumb,a,a,0.005476269405335188,False
415,wig,hair,,,3.0850886105326936e-05,False
416,caramel,sauce,,,1.0154873328645915e-09,True
417,curly,head,a,a,0.0002004169946303591,False
418,wet,grandpa,a,a,1.2798471288988367e-05,False
419,slope,test,a,a,5.580721699516289e-05,False
420,baby,panda,a,a,0.0011574302334338427,False
421,gas,fire,,,0.00015227595577016473,False
422,boy,tooth,a,a,9.705074626253918e-05,False
423,yellow,handle,a,a,6.534376734634861e-05,False
424,marble,roll,a,a,1.7443457181798294e-05,False
425,twin,deck,a,a,2.3164711819845252e-05,False
426,potty,sticker,a,a,1.2595828777293436e-11,True
427,orange,plant,a,an,7.130642188712955e-05,False
428,coffee,machine,a,a,0.011297238059341908,False
429,jelly,container,a,a,5.528850670089014e-05,False
430,round,pumpkin,a,a,9.820880222832784e-05,False
431,body,puppet,a,a,0.004917879588901997,False
432,daddy,waffle,a,a,3.631121217040345e-05,False
433,giant,dump,a,a,0.00013324279279913753,False
434,lobster,hat,a,a,0.00011286717926850542,False
435,outside,world,a,an,0.002892125165089965,False
436,yellow,chicken,a,a,0.0014910943573340774,False
437,bean,ball,a,a,0.0003502810432109982,False
438,red,ice,,,0.012725603766739368,False
439,farm,shop,a,a,0.0007578959921374917,False
440,garlic,salt,,,0.0003722736146301031,False
441,pink,honey,,,0.0003438838757574558,False
442,weenie,firefly,a,a,1.4449787567034429e-11,True
443,fat,tummy,a,a,0.0018733025062829256,False
444,cloud,smoke,,,0.0005287803942337632,False
445,car,boot,a,a,0.008678448386490345,False
446,phone,line,a,a,8.907542905944865e-06,False
447,art,advisor,an,an,0.010012300685048103,False
448,top,molar,a,a,0.0007101325900293887,False
449,wrapping,paper,a,a,0.0015306856948882341,False
450,road,sign,a,a,0.012013077735900879,False
451,hand,drive,a,a,0.00023971189511939883,False
452,bloody,nose,a,a,0.0019425000064074993,False
453,baby,bottle,a,a,0.002666996093466878,False
454,yellow,lip,a,a,0.00017031266179401428,False
455,pink,shorts,,,0.0018522572936490178,False
456,fire,alarm,an,a,0.166659414768219,False
457,north,pole,a,a,0.6618260741233826,False
458,dog,mama,a,a,0.00025268783792853355,False
459,wiggle,dancing,,,1.295552120562921e-10,True
460,examination,board,a,an,0.0013546436093747616,False
461,bull,ant,an,a,0.009146476164460182,False
462,brown,cap,a,a,0.0008954278309829533,False
463,kid,ride,a,a,0.00010096424375660717,False
464,yellow,ball,a,a,0.0009904361795634031,False
465,man,book,a,a,5.412566679297015e-05,False
466,door,bell,a,a,0.00014665129128843546,False
467,dart,board,a,a,3.213795571355149e-05,False
468,puppet,baby,a,a,1.5262581655406393e-05,False
469,dinner,break,a,a,0.00030303653329610825,False
470,granite,horse,a,a,1.137014896812616e-05,False
471,chest,plate,a,a,0.0003082371549680829,False
472,record,case,a,a,0.0007478196639567614,False
473,whale,hat,a,a,7.384398486465216e-06,False
474,mommy,daddy,a,a,0.01818736083805561,False
475,dinosaur,skull,a,a,0.0007091601146385074,False
476,tree,farm,a,a,0.0018160801846534014,False
477,orange,kitty,a,an,6.792564818169922e-05,False
478,clown,nose,a,a,6.559183384524658e-05,False
479,potty,break,a,a,4.0248325548335985e-11,True
480,bread,basket,a,a,0.0039893509820103645,False
481,giraffe,leg,a,a,4.360785910825858e-19,True
482,fat,squirrel,a,a,0.0005165264592505991,False
483,fish,guts,,,0.001051069120876491,False
484,bubble,soap,,,0.0007919230265542865,False
485,fuzzy,creature,a,a,7.475574966520071e-05,False
486,basket,ball,a,a,0.004391958005726337,False
487,red,wagon,a,a,0.006814409513026476,False
488,matchbox,car,a,a,2.0962464687147407e-10,True
489,jungle,ride,a,a,0.0023813152220100164,False
490,quiz,game,a,a,4.221312701702118e-05,False
491,colored,green,,,9.958576811186504e-06,False
492,gold,ring,a,a,0.0008096953970380127,False
493,paint,drip,a,a,0.00033765079570002854,False
494,wet,slab,a,a,0.0004973238101229072,False
495,green,blanket,a,a,0.015625571832060814,False
496,oil,filter,a,an,0.00010269656922901049,False
497,tan,car,a,a,1.120964498113608e-05,False
498,green,grasshopper,a,a,0.017131516709923744,False
499,bowling,ball,a,a,0.01157378125935793,False
500,hot,tap,a,a,0.03723890706896782,False
501,onion,ring,a,an,0.002150078071281314,False
502,petrol,account,an,a,2.2605856884183595e-06,False
503,thistle,patch,a,a,0.0001039628405123949,False
504,dirty,mommy,a,a,5.8192927099298686e-05,False
505,bright,picture,a,a,0.0004637429374270141,False
506,picture,book,a,a,0.059036046266555786,False
507,step,stool,a,a,0.00891170371323824,False
508,tree,branch,a,a,7.57198577048257e-05,False
509,apple,cookie,a,an,0.00043990256381221116,False
510,bar,staff,,,0.0012980977771803737,False
511,rock,crowd,a,a,0.00048273958964273334,False
512,dirty,bottom,a,a,0.00020912861509714276,False
513,bug,lift,a,a,3.4741649415082065e-06,False
514,onion,gravy,,,0.0220741368830204,False
515,skirt,stain,a,a,4.871284181717783e-05,False
516,green,grape,a,a,0.002883779350668192,False
517,night,sky,a,a,0.0223382655531168,False
518,solid,feed,,,3.616275716922246e-05,False
519,sky,diving,,,0.001973232254385948,False
520,pirate,hat,a,a,0.00020935146312694997,False
521,giant,pillow,a,a,0.0005923215067014098,False
522,green,side,a,a,0.001068928511813283,False
523,green,shirt,a,a,0.01101364940404892,False
524,pink,mirror,a,a,0.00047027377877384424,False
525,red,ear,an,a,0.000868139904923737,False
526,blowing,bubble,a,a,1.5358418750111014e-05,False
527,grey,coat,a,a,0.002397984266281128,False
528,giant,octopus,an,a,0.016507411375641823,False
529,dwarf,tree,a,a,0.0005017753574065864,False
530,slippery,balloon,a,a,1.0974220458592754e-05,False
531,baby,pumpkin,a,a,0.002029723720625043,False
532,jelly,sandwich,a,a,0.004655752796679735,False
533,octopus,video,a,an,1.5795193348822067e-06,False
534,hill,track,a,a,1.928731580846943e-05,False
535,fuzzy,pants,,,0.00016687663446646184,False
536,spider,web,a,a,0.00031788897467777133,False
537,pony,ride,a,a,0.002287059323862195,False
538,card,table,a,a,0.010530412197113037,False
539,giant,bean,a,a,0.0010400585597380996,False
540,song,book,a,a,0.0005896647344343364,False
541,art,school,a,an,0.0011421774979680777,False
542,head,office,an,a,0.0025564043316990137,False
543,tire,mold,a,a,3.74900373572018e-05,False
544,bear,sleeping,,,3.391366044525057e-05,False
545,ice,cube,a,an,0.04145994037389755,False
546,dead,fly,a,a,0.0006633870652876794,False
547,dog,sticker,a,a,0.0007789236260578036,False
548,food,coloring,,,0.007279977202415466,False
549,apple,farm,a,an,0.00083726248703897,False
550,bedroom,bathroom,a,a,0.002474905224516988,False
551,sweet,drink,a,a,0.0015762405237182975,False
552,hot,egg,an,a,0.000392654852475971,False
553,beach,token,a,a,0.0001564751291880384,False
554,brown,basket,a,a,0.0002005783753702417,False
555,candy,corn,a,a,0.0034323183353990316,False
556,library,book,a,a,0.005358000751584768,False
557,train,track,a,a,5.938698905083584e-06,False
558,orange,wall,a,an,0.00022439865279011428,False
559,nylon,shirt,a,a,0.0002751896681729704,False
560,purple,pepperoni,,,5.997164407745004e-05,False
561,muscle,tissue,a,a,0.0025929559487849474,False
562,outside,line,a,an,3.1581850635120645e-05,False
563,blind,mouse,a,a,0.0009213992743752897,False
564,coral,piece,a,a,6.518512691400247e-06,False
565,key,board,a,a,0.0002637724974192679,False
566,water,filter,a,a,0.0009801237611100078,False
567,root,beer,a,a,0.026756905019283295,False
568,turkey,chip,a,a,8.013082697289065e-05,False
569,grocery,store,a,a,0.07277078926563263,False
570,back,seat,a,a,0.06465208530426025,False
571,lemon,skin,,,9.216900798492134e-05,False
572,fly,ball,a,a,0.001683486276306212,False
573,purple,baby,a,a,0.0001345483906334266,False
